**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
5.0, elevID,2,  pos,-2,  cmd, goto,0
17.0,Elevator call,16.957882888088932,-1,0,1,1, got allocated to elevator, 1
17.0,Elev,2,  arrived at src, 0, Elevator call,4.374727290393253,0,-1,2,0
17.0, elevID,2,  pos,0,  cmd, goto,0
17.0, elevID,3,  pos,-2,  cmd, goto,-1
18.0, elevID,2,  pos,0,  cmd, goto,0
19.0, elevID,2,  pos,0,  cmd, goto,0
20.0, elevID,2,  pos,0,  cmd, goto,0
21.0, elevID,2,  pos,0,  cmd, goto,0
22.0, elevID,2,  pos,0,  cmd, goto,0
23.0, elevID,2,  pos,0,  cmd, goto,0
23.0,Elevator call,22.094056301593582,0,-1,1,0, got allocated to elevator, 0
23.0,Elev,2,  arrived at src, 0, Elevator call,22.094056301593582,0,-1,2,0
23.0, elevID,2,  pos,0,  cmd, goto,0
24.0, elevID,2,  pos,0,  cmd, goto,0
25.0, elevID,2,  pos,0,  cmd, goto,0
26.0, elevID,2,  pos,0,  cmd, goto,0
27.0, elevID,2,  pos,0,  cmd, goto,0
28.0, elevID,2,  pos,0,  cmd, goto,0
28.0,Elev,3,  arrived at src, -1, Elevator call,16.957882888088932,-1,0,2,1
28.0, elevID,3,  pos,-1,  cmd, goto,-1
29.0, elevID,2,  pos,0,  cmd, goto,0
29.0, elevID,3,  pos,-1,  cmd, goto,-1
30.0, elevID,2,  pos,0,  cmd, goto,0
30.0, elevID,3,  pos,-1,  cmd, goto,-1
31.0, elevID,2,  pos,0,  cmd, goto,0
31.0, elevID,3,  pos,-1,  cmd, goto,-1
32.0, elevID,2,  pos,0,  cmd, goto,0
32.0, elevID,3,  pos,-1,  cmd, goto,-1
33.0, elevID,2,  pos,0,  cmd, goto,0
33.0, elevID,3,  pos,-1,  cmd, goto,-1
34.0, elevID,2,  pos,0,  cmd, goto,0
34.0, elevID,3,  pos,-1,  cmd, goto,-1
35.0, elevID,2,  pos,0,  cmd, goto,0
35.0, elevID,3,  pos,-1,  cmd, goto,-1
36.0, elevID,2,  pos,0,  cmd, goto,0
36.0, elevID,3,  pos,-1,  cmd, goto,-1
37.0, elevID,2,  pos,0,  cmd, goto,0
37.0, elevID,3,  pos,-1,  cmd, goto,-1
38.0, elevID,2,  pos,0,  cmd, goto,0
38.0, elevID,3,  pos,-1,  cmd, goto,-1
39.0, elevID,2,  pos,0,  cmd, goto,0
39.0, elevID,3,  pos,-1,  cmd, goto,-1
40.0, elevID,2,  pos,0,  cmd, goto,0
40.0, elevID,3,  pos,-1,  cmd, goto,-1
41.0, elevID,2,  pos,0,  cmd, goto,0
41.0, elevID,3,  pos,-1,  cmd, goto,-1
42.0, elevID,2,  pos,0,  cmd, goto,0
42.0, elevID,3,  pos,-1,  cmd, goto,-1
43.0, elevID,2,  pos,0,  cmd, goto,0
43.0, elevID,3,  pos,-1,  cmd, goto,-1
44.0, elevID,2,  pos,0,  cmd, goto,0
44.0, elevID,3,  pos,-1,  cmd, goto,-1
45.0, elevID,2,  pos,0,  cmd, goto,0
45.0, elevID,3,  pos,-1,  cmd, goto,-1
46.0, elevID,2,  pos,0,  cmd, goto,0
46.0, elevID,3,  pos,-1,  cmd, goto,-1
47.0, elevID,2,  pos,0,  cmd, goto,0
47.0, elevID,3,  pos,-1,  cmd, goto,-1
48.0, elevID,2,  pos,0,  cmd, goto,0
48.0, elevID,3,  pos,-1,  cmd, goto,-1
49.0, elevID,2,  pos,0,  cmd, goto,0
49.0, elevID,3,  pos,-1,  cmd, goto,-1
50.0, elevID,2,  pos,0,  cmd, goto,0
50.0, elevID,3,  pos,-1,  cmd, goto,-1
51.0, elevID,2,  pos,0,  cmd, goto,0
51.0, elevID,3,  pos,-1,  cmd, goto,-1
52.0, elevID,2,  pos,0,  cmd, goto,0
52.0, elevID,3,  pos,-1,  cmd, goto,-1
53.0, elevID,2,  pos,0,  cmd, goto,0
53.0, elevID,3,  pos,-1,  cmd, goto,-1
54.0, elevID,2,  pos,0,  cmd, goto,0
54.0, elevID,3,  pos,-1,  cmd, goto,-1
55.0, elevID,2,  pos,0,  cmd, goto,0
55.0, elevID,3,  pos,-1,  cmd, goto,-1
56.0, elevID,2,  pos,0,  cmd, goto,0
56.0, elevID,3,  pos,-1,  cmd, goto,-1
57.0, elevID,2,  pos,0,  cmd, goto,0
57.0, elevID,3,  pos,-1,  cmd, goto,-1
58.0, elevID,2,  pos,0,  cmd, goto,0
58.0, elevID,3,  pos,-1,  cmd, goto,-1
59.0, elevID,2,  pos,0,  cmd, goto,0
59.0, elevID,3,  pos,-1,  cmd, goto,-1
60.0, elevID,2,  pos,0,  cmd, goto,0
60.0, elevID,3,  pos,-1,  cmd, goto,-1
61.0, elevID,2,  pos,0,  cmd, goto,0
61.0, elevID,3,  pos,-1,  cmd, goto,-1
62.0, elevID,2,  pos,0,  cmd, goto,0
62.0, elevID,3,  pos,-1,  cmd, goto,-1
63.0, elevID,2,  pos,0,  cmd, goto,0
63.0, elevID,3,  pos,-1,  cmd, goto,-1
64.0, elevID,2,  pos,0,  cmd, goto,0
64.0, elevID,3,  pos,-1,  cmd, goto,-1
65.0, elevID,2,  pos,0,  cmd, goto,0
65.0, elevID,3,  pos,-1,  cmd, goto,-1
66.0, elevID,2,  pos,0,  cmd, goto,0
66.0, elevID,3,  pos,-1,  cmd, goto,-1
67.0, elevID,2,  pos,0,  cmd, goto,0
67.0, elevID,3,  pos,-1,  cmd, goto,-1
68.0, elevID,2,  pos,0,  cmd, goto,0
68.0, elevID,3,  pos,-1,  cmd, goto,-1
69.0, elevID,2,  pos,0,  cmd, goto,0
69.0, elevID,3,  pos,-1,  cmd, goto,-1
70.0, elevID,2,  pos,0,  cmd, goto,0
70.0, elevID,3,  pos,-1,  cmd, goto,-1
71.0, elevID,2,  pos,0,  cmd, goto,0
71.0, elevID,3,  pos,-1,  cmd, goto,-1
72.0, elevID,2,  pos,0,  cmd, goto,0
72.0, elevID,3,  pos,-1,  cmd, goto,-1
73.0, elevID,2,  pos,0,  cmd, goto,0
73.0, elevID,3,  pos,-1,  cmd, goto,-1
74.0, elevID,2,  pos,0,  cmd, goto,0
74.0, elevID,3,  pos,-1,  cmd, goto,-1
75.0, elevID,2,  pos,0,  cmd, goto,0
75.0, elevID,3,  pos,-1,  cmd, goto,-1
76.0, elevID,2,  pos,0,  cmd, goto,0
76.0, elevID,3,  pos,-1,  cmd, goto,-1
77.0, elevID,2,  pos,0,  cmd, goto,0
77.0, elevID,3,  pos,-1,  cmd, goto,-1
78.0, elevID,2,  pos,0,  cmd, goto,0
78.0, elevID,3,  pos,-1,  cmd, goto,-1
79.0, elevID,2,  pos,0,  cmd, goto,0
79.0, elevID,3,  pos,-1,  cmd, goto,-1
80.0, elevID,2,  pos,0,  cmd, goto,0
80.0, elevID,3,  pos,-1,  cmd, goto,-1
81.0, elevID,2,  pos,0,  cmd, goto,0
81.0, elevID,3,  pos,-1,  cmd, goto,-1
82.0, elevID,2,  pos,0,  cmd, goto,0
82.0, elevID,3,  pos,-1,  cmd, goto,-1
83.0, elevID,2,  pos,0,  cmd, goto,0
83.0, elevID,3,  pos,-1,  cmd, goto,-1
84.0, elevID,2,  pos,0,  cmd, goto,0
84.0, elevID,3,  pos,-1,  cmd, goto,-1
85.0, elevID,2,  pos,0,  cmd, goto,0
85.0, elevID,3,  pos,-1,  cmd, goto,-1
86.0, elevID,3,  pos,-1,  cmd, goto,-1
86.0,Elevator call,85.5209666204754,3,2,1,1, got allocated to elevator, 1
86.0, elevID,2,  pos,0,  cmd, goto,0
86.0, elevID,3,  pos,-1,  cmd, goto,-1
87.0, elevID,2,  pos,0,  cmd, goto,0
87.0, elevID,3,  pos,-1,  cmd, goto,-1
88.0, elevID,2,  pos,0,  cmd, goto,0
88.0, elevID,3,  pos,-1,  cmd, goto,-1
89.0, elevID,2,  pos,0,  cmd, goto,0
89.0, elevID,3,  pos,-1,  cmd, goto,-1
90.0, elevID,2,  pos,0,  cmd, goto,0
90.0, elevID,3,  pos,-1,  cmd, goto,-1
91.0, elevID,2,  pos,0,  cmd, goto,0
91.0, elevID,3,  pos,-1,  cmd, goto,-1
92.0, elevID,2,  pos,0,  cmd, goto,0
92.0,Elevator call,91.21019413453945,-1,-2,1,0, got allocated to elevator, 0
92.0, elevID,2,  pos,0,  cmd, goto,0
92.0, elevID,3,  pos,-1,  cmd, goto,-1
93.0, elevID,2,  pos,0,  cmd, goto,0
93.0, elevID,3,  pos,-1,  cmd, goto,-1
94.0, elevID,2,  pos,0,  cmd, goto,0
94.0, elevID,3,  pos,-1,  cmd, goto,-1
95.0, elevID,2,  pos,0,  cmd, goto,0
95.0, elevID,3,  pos,-1,  cmd, goto,-1
96.0, elevID,2,  pos,0,  cmd, goto,0
96.0, elevID,3,  pos,-1,  cmd, goto,-1
97.0, elevID,2,  pos,0,  cmd, goto,0
97.0, elevID,3,  pos,-1,  cmd, goto,-1
98.0, elevID,2,  pos,0,  cmd, goto,0
98.0, elevID,3,  pos,-1,  cmd, goto,-1
99.0, elevID,2,  pos,0,  cmd, goto,0
99.0, elevID,3,  pos,-1,  cmd, goto,-1
100.0, elevID,2,  pos,0,  cmd, goto,0
100.0, elevID,3,  pos,-1,  cmd, goto,-1
101.0, elevID,2,  pos,0,  cmd, goto,0
101.0, elevID,3,  pos,-1,  cmd, goto,-1
102.0, elevID,2,  pos,0,  cmd, goto,0
102.0, elevID,3,  pos,-1,  cmd, goto,-1
103.0, elevID,2,  pos,0,  cmd, goto,0
103.0, elevID,3,  pos,-1,  cmd, goto,-1
104.0, elevID,2,  pos,0,  cmd, goto,0
104.0, elevID,3,  pos,-1,  cmd, goto,-1
105.0, elevID,3,  pos,-1,  cmd, goto,-1
105.0,Elevator call,104.13701241869234,0,4,1,1, got allocated to elevator, 1
105.0, elevID,2,  pos,0,  cmd, goto,0
105.0, elevID,3,  pos,-1,  cmd, goto,-1
106.0, elevID,2,  pos,0,  cmd, goto,0
106.0, elevID,3,  pos,-1,  cmd, goto,-1
107.0, elevID,2,  pos,0,  cmd, goto,0
107.0, elevID,3,  pos,-1,  cmd, goto,-1
108.0, elevID,2,  pos,0,  cmd, goto,0
108.0, elevID,3,  pos,-1,  cmd, goto,-1
109.0, elevID,2,  pos,0,  cmd, goto,0
109.0, elevID,3,  pos,-1,  cmd, goto,-1
110.0, elevID,3,  pos,-1,  cmd, goto,-1
110.0,Elevator call,109.21352909346587,-1,0,1,1, got allocated to elevator, 1
110.0, elevID,2,  pos,0,  cmd, goto,0
110.0,Elev,3,  arrived at src, -1, Elevator call,109.21352909346587,-1,0,2,1
110.0, elevID,3,  pos,-1,  cmd, goto,-1
111.0, elevID,2,  pos,0,  cmd, goto,0
111.0, elevID,3,  pos,-1,  cmd, goto,-1
112.0, elevID,2,  pos,0,  cmd, goto,0
112.0, elevID,3,  pos,-1,  cmd, goto,-1
113.0, elevID,2,  pos,0,  cmd, goto,0
113.0, elevID,3,  pos,-1,  cmd, goto,-1
114.0, elevID,2,  pos,0,  cmd, goto,0
114.0, elevID,3,  pos,-1,  cmd, goto,-1
115.0, elevID,2,  pos,0,  cmd, goto,0
115.0,Elevator call,114.39235096774041,3,0,1,0, got allocated to elevator, 0
115.0, elevID,2,  pos,0,  cmd, goto,0
115.0, elevID,3,  pos,-1,  cmd, goto,-1
116.0, elevID,2,  pos,0,  cmd, goto,0
116.0, elevID,3,  pos,-1,  cmd, goto,-1
117.0, elevID,2,  pos,0,  cmd, goto,0
117.0, elevID,3,  pos,-1,  cmd, goto,-1
118.0, elevID,2,  pos,0,  cmd, goto,0
118.0, elevID,3,  pos,-1,  cmd, goto,-1
119.0, elevID,2,  pos,0,  cmd, goto,0
119.0, elevID,3,  pos,-1,  cmd, goto,-1
120.0, elevID,2,  pos,0,  cmd, goto,0
120.0, elevID,3,  pos,-1,  cmd, goto,-1
121.0, elevID,2,  pos,0,  cmd, goto,0
121.0, elevID,3,  pos,-1,  cmd, goto,-1
122.0, elevID,2,  pos,0,  cmd, goto,0
122.0, elevID,3,  pos,-1,  cmd, goto,-1
123.0, elevID,2,  pos,0,  cmd, goto,0
123.0, elevID,3,  pos,-1,  cmd, goto,-1
124.0, elevID,2,  pos,0,  cmd, goto,0
124.0, elevID,3,  pos,-1,  cmd, goto,-1
125.0, elevID,2,  pos,0,  cmd, goto,0
125.0,Elevator call,124.42557095980362,0,9,1,0, got allocated to elevator, 0
125.0,Elev,2,  arrived at src, 0, Elevator call,124.42557095980362,0,9,2,0
125.0, elevID,2,  pos,0,  cmd, goto,0
125.0, elevID,3,  pos,-1,  cmd, goto,-1
126.0, elevID,2,  pos,0,  cmd, goto,0
126.0, elevID,3,  pos,-1,  cmd, goto,-1
127.0, elevID,2,  pos,0,  cmd, goto,0
127.0, elevID,3,  pos,-1,  cmd, goto,-1
128.0, elevID,2,  pos,0,  cmd, goto,0
128.0, elevID,3,  pos,-1,  cmd, goto,-1
129.0, elevID,2,  pos,0,  cmd, goto,0
129.0, elevID,3,  pos,-1,  cmd, goto,-1
130.0, elevID,2,  pos,0,  cmd, goto,0
130.0, elevID,3,  pos,-1,  cmd, goto,-1
131.0, elevID,3,  pos,-1,  cmd, goto,-1
131.0,Elevator call,130.02495678190564,8,10,1,1, got allocated to elevator, 1
131.0, elevID,3,  pos,-1,  cmd, goto,-1
131.0,Elevator call,130.224911275492,-1,1,1,1, got allocated to elevator, 1
131.0, elevID,2,  pos,0,  cmd, goto,0
131.0,Elev,3,  arrived at src, -1, Elevator call,130.224911275492,-1,1,2,1
131.0, elevID,3,  pos,-1,  cmd, goto,-1
132.0, elevID,2,  pos,0,  cmd, goto,0
132.0, elevID,3,  pos,-1,  cmd, goto,-1
133.0, elevID,2,  pos,0,  cmd, goto,0
133.0, elevID,3,  pos,-1,  cmd, goto,-1
134.0, elevID,2,  pos,0,  cmd, goto,0
134.0, elevID,3,  pos,-1,  cmd, goto,-1
135.0, elevID,2,  pos,0,  cmd, goto,0
135.0, elevID,3,  pos,-1,  cmd, goto,-1
136.0, elevID,2,  pos,0,  cmd, goto,0
136.0, elevID,3,  pos,-1,  cmd, goto,-1
137.0, elevID,2,  pos,0,  cmd, goto,0
137.0, elevID,3,  pos,-1,  cmd, goto,-1
138.0, elevID,2,  pos,0,  cmd, goto,0
138.0,Elevator call,137.9515274326701,0,4,1,0, got allocated to elevator, 0
138.0,Elev,2,  arrived at src, 0, Elevator call,137.9515274326701,0,4,2,0
