**** The Simulator log: stage 4
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-3,20]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.5, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 500
0.0,**** Simulation starts!! ****
62.0, elevID,10,  pos,-1,  cmd, goto,-1
63.0, elevID,9,  pos,-2,  cmd, goto,-2
63.0, elevID,10,  pos,-1,  cmd, goto,-1
64.0, elevID,10,  pos,-1,  cmd, goto,-1
64.0,Elevator call,63.05259875982824,-1,0,1,2, got allocated to elevator, 2
64.0, elevID,9,  pos,-2,  cmd, goto,-2
64.0,Elev,10,  arrived at src, -1, Elevator call,63.05259875982824,-1,0,2,2
64.0, elevID,10,  pos,-1,  cmd, goto,-1
65.0, elevID,9,  pos,-2,  cmd, goto,-2
65.0, elevID,10,  pos,-1,  cmd, goto,-1
66.0, elevID,9,  pos,-2,  cmd, goto,-2
66.0, elevID,10,  pos,-1,  cmd, goto,-1
67.0, elevID,9,  pos,-2,  cmd, goto,-2
67.0, elevID,10,  pos,-1,  cmd, goto,-1
68.0, elevID,9,  pos,-2,  cmd, goto,-2
68.0, elevID,10,  pos,-1,  cmd, goto,-1
69.0, elevID,9,  pos,-2,  cmd, goto,-2
69.0, elevID,10,  pos,-1,  cmd, goto,-1
70.0, elevID,9,  pos,-2,  cmd, goto,-2
70.0, elevID,10,  pos,-1,  cmd, goto,-1
71.0, elevID,9,  pos,-2,  cmd, goto,-2
71.0, elevID,10,  pos,-1,  cmd, goto,-1
72.0, elevID,9,  pos,-2,  cmd, goto,-2
72.0, elevID,10,  pos,-1,  cmd, goto,-1
73.0, elevID,9,  pos,-2,  cmd, goto,-2
73.0, elevID,10,  pos,-1,  cmd, goto,-1
74.0, elevID,9,  pos,-2,  cmd, goto,-2
74.0, elevID,10,  pos,-1,  cmd, goto,-1
75.0, elevID,9,  pos,-2,  cmd, goto,-2
75.0, elevID,10,  pos,-1,  cmd, goto,-1
76.0, elevID,9,  pos,-2,  cmd, goto,-2
76.0, elevID,10,  pos,-1,  cmd, goto,-1
77.0, elevID,9,  pos,-2,  cmd, goto,-2
77.0, elevID,10,  pos,-1,  cmd, goto,-1
78.0, elevID,9,  pos,-2,  cmd, goto,-2
78.0, elevID,10,  pos,-1,  cmd, goto,-1
79.0, elevID,9,  pos,-2,  cmd, goto,-2
79.0, elevID,10,  pos,-1,  cmd, goto,-1
80.0,Elevator call,79.37736411739434,0,14,1,0, got allocated to elevator, 0
80.0, elevID,8,  pos,-3,  cmd, goto,0
80.0, elevID,9,  pos,-2,  cmd, goto,-2
80.0, elevID,10,  pos,-1,  cmd, goto,-1
81.0, elevID,9,  pos,-2,  cmd, goto,-2
81.0, elevID,10,  pos,-1,  cmd, goto,-1
82.0, elevID,9,  pos,-2,  cmd, goto,-2
82.0, elevID,10,  pos,-1,  cmd, goto,-1
83.0, elevID,9,  pos,-2,  cmd, goto,-2
83.0, elevID,10,  pos,-1,  cmd, goto,-1
84.0, elevID,9,  pos,-2,  cmd, goto,-2
84.0, elevID,10,  pos,-1,  cmd, goto,-1
85.0, elevID,9,  pos,-2,  cmd, goto,-2
85.0, elevID,10,  pos,-1,  cmd, goto,-1
86.0, elevID,9,  pos,-2,  cmd, goto,-2
86.0, elevID,10,  pos,-1,  cmd, goto,-1
87.0, elevID,9,  pos,-2,  cmd, goto,-2
87.0, elevID,10,  pos,-1,  cmd, goto,-1
88.0, elevID,9,  pos,-2,  cmd, goto,-2
88.0, elevID,10,  pos,-1,  cmd, goto,-1
89.0, elevID,9,  pos,-2,  cmd, goto,-2
89.0, elevID,10,  pos,-1,  cmd, goto,-1
90.0, elevID,9,  pos,-2,  cmd, goto,-2
90.0, elevID,10,  pos,-1,  cmd, goto,-1
91.0, elevID,9,  pos,-2,  cmd, goto,-2
91.0, elevID,10,  pos,-1,  cmd, goto,-1
92.0, elevID,9,  pos,-2,  cmd, goto,-2
92.0, elevID,10,  pos,-1,  cmd, goto,-1
93.0, elevID,9,  pos,-2,  cmd, goto,-2
93.0,Elevator call,92.15048695301039,-2,5,1,1, got allocated to elevator, 1
93.0,Elev,8,  arrived at src, 0, Elevator call,79.37736411739434,0,14,2,0
93.0, elevID,8,  pos,0,  cmd, goto,0
93.0,Elev,9,  arrived at src, -2, Elevator call,92.15048695301039,-2,5,2,1
93.0, elevID,9,  pos,-2,  cmd, goto,-2
93.0, elevID,10,  pos,-1,  cmd, goto,-1
94.0, elevID,8,  pos,0,  cmd, goto,0
94.0, elevID,9,  pos,-2,  cmd, goto,-2
94.0, elevID,10,  pos,-1,  cmd, goto,-1
95.0, elevID,8,  pos,0,  cmd, goto,0
95.0, elevID,9,  pos,-2,  cmd, goto,-2
95.0, elevID,10,  pos,-1,  cmd, goto,-1
96.0, elevID,8,  pos,0,  cmd, goto,0
96.0, elevID,9,  pos,-2,  cmd, goto,-2
