**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
105.0, elevID,3,  pos,3,  cmd, goto,3
106.0, elevID,2,  pos,0,  cmd, goto,0
106.0, elevID,3,  pos,3,  cmd, goto,3
107.0, elevID,2,  pos,0,  cmd, goto,0
107.0, elevID,3,  pos,3,  cmd, goto,3
108.0, elevID,2,  pos,0,  cmd, goto,0
108.0, elevID,3,  pos,3,  cmd, goto,3
109.0, elevID,2,  pos,0,  cmd, goto,0
109.0, elevID,3,  pos,3,  cmd, goto,3
110.0, elevID,3,  pos,3,  cmd, goto,3
110.0,Elevator call,109.21352909346587,-1,0,1,1, got allocated to elevator, 1
110.0, elevID,2,  pos,0,  cmd, goto,0
110.0, elevID,3,  pos,3,  cmd, goto,3
111.0, elevID,2,  pos,0,  cmd, goto,0
111.0, elevID,3,  pos,3,  cmd, goto,3
112.0, elevID,2,  pos,0,  cmd, goto,0
112.0, elevID,3,  pos,3,  cmd, goto,3
113.0, elevID,2,  pos,0,  cmd, goto,0
113.0, elevID,3,  pos,3,  cmd, goto,3
114.0, elevID,2,  pos,0,  cmd, goto,0
114.0, elevID,3,  pos,3,  cmd, goto,3
115.0, elevID,3,  pos,3,  cmd, goto,3
115.0,Elevator call,114.39235096774041,3,0,1,1, got allocated to elevator, 1
115.0, elevID,2,  pos,0,  cmd, goto,0
115.0,Elev,3,  arrived at src, 3, Elevator call,114.39235096774041,3,0,2,1
115.0, elevID,3,  pos,3,  cmd, goto,3
116.0, elevID,2,  pos,0,  cmd, goto,0
116.0, elevID,3,  pos,3,  cmd, goto,3
117.0, elevID,2,  pos,0,  cmd, goto,0
117.0, elevID,3,  pos,3,  cmd, goto,3
118.0, elevID,2,  pos,0,  cmd, goto,0
118.0, elevID,3,  pos,3,  cmd, goto,3
119.0, elevID,2,  pos,0,  cmd, goto,0
119.0, elevID,3,  pos,3,  cmd, goto,3
120.0, elevID,2,  pos,0,  cmd, goto,0
120.0, elevID,3,  pos,3,  cmd, goto,3
