**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
49.0, elevID,55,  pos,-7,  cmd, goto,-7
49.0,Elevator call,48.17946317881706,-7,5,1,3, got allocated to elevator, 3
49.0, elevID,52,  pos,-3,  cmd, goto,-3
49.0, elevID,53,  pos,-8,  cmd, goto,-8
49.0,Elev,55,  arrived at src, -7, Elevator call,48.17946317881706,-7,5,2,3
49.0, elevID,55,  pos,-7,  cmd, goto,-7
50.0, elevID,52,  pos,-3,  cmd, goto,-3
50.0, elevID,53,  pos,-8,  cmd, goto,-8
50.0, elevID,55,  pos,-7,  cmd, goto,-7
51.0, elevID,52,  pos,-3,  cmd, goto,-3
51.0, elevID,53,  pos,-8,  cmd, goto,-8
51.0, elevID,55,  pos,-7,  cmd, goto,-7
52.0, elevID,52,  pos,-3,  cmd, goto,-3
52.0, elevID,53,  pos,-8,  cmd, goto,-8
52.0, elevID,55,  pos,-7,  cmd, goto,-7
53.0, elevID,52,  pos,-3,  cmd, goto,-3
53.0, elevID,53,  pos,-8,  cmd, goto,-8
53.0, elevID,55,  pos,-7,  cmd, goto,-7
54.0, elevID,52,  pos,-3,  cmd, goto,-3
54.0, elevID,53,  pos,-8,  cmd, goto,-8
54.0, elevID,55,  pos,-7,  cmd, goto,-7
55.0, elevID,52,  pos,-3,  cmd, goto,-3
55.0, elevID,53,  pos,-8,  cmd, goto,-8
